Id,Age,Geo,Gender,Language_Spoken,Language_Used,Education,Employed,Occupation,HH_Income,Ethnic_Background,Labels
0,65-69,Ontario,Female,French,English,High School Graduation Certificate,Full-Time,Professionals,$40000-$49999,South Asian (East Indian Pakistani),Burgers_Burger Past 30 1-2
1,35-39,New Brunswick,Female,Indian-Other,English,High School Graduation Certificate,Part-Time,Clerical/Secretarial,Under $25000,East/South Asian (Cambodian Indonesian),Burgers_Burger past 30 3-4
2,70+,Quebec,Female,English,French,Trade Certificate/Diploma,Not Employed,Other,$60000-$74999,White,Burgers_Burger Past 30 1-2
3,25-29,Quebec,Female,Indian-Hindi,French,Univ Cert/Dipl Below Bachelor Level,Full-Time,Skilled,$150000-$199999,White,Burgers_Burger Past 30 1-2
4,45-49,Quebec,Male,English,French,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other Managers,$150000-$199999,White,Burgers_Burger Past 30 1-2
5,25-29,Ontario,Male,English,English,Trade Certificate/Diploma,Full-Time,Other,$75000-$99999,White,Chicken_Chicken Past 30 1-2
6,65-69,Ontario,Female,English,English,High School Graduation Certificate,Full-Time,Other,$25000-$34999,White,Burgers_Burger Past 30 1-2
7,45-49,Alberta,Male,Chinese-Cantonese,English,None,Not Employed,Clerical/Secretarial,$200000 Or Over,White,Chicken_Chicken Past 30 1-2
8,60-64,Alberta,Male,English,English,Other Certificate/Diploma Not Univ,Full-Time,Skilled,$100000-$124999,Filipino,Chicken_Chicken Past 30 1-2
9,60-64,Ontario,Male,Chinese - Mandarin,English,Other Certificate/Diploma Not Univ,Not Employed,Other,$100000-$124999,White,Burgers_Burger Past 30 1-2
10,40-44,Quebec,Female,English,English,Other Certificate/Diploma Not Univ,Full-Time,Other,$50000-$59999,Black,Popeyes 1-2
11,60-64,Newfoundland and Labrador,Female,French,French,Elementary School Graduation Cert,Not Employed,Other,Under $25000,White,Burgers_Burger Past 30 1-2
12,45-49,Alberta,Male,English,English,Trade Certificate/Diploma,Full-Time,Technical/Sales/Teaching/Other White Collar,$25000-$34999,White,Chicken_Chicken past 30 3-4
