,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Id,Age,Geo,Gender,Language_Spoken,Language_Used,Education,Employed,Occupation,HH_Income,Ethnic_Background,Labels,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,label1,combination,total,label1x,label2x,label3x,label4x,label5x,label6x,label7x,label8x,label9x,label10x,label11x,label12x,total_per,bestlabelx1,bestlabelx2,bestlabelx3,bestlabel1,bestlabel2,bestlabel3,melhores
0,0,0,0,0,2,2,,2,70+,Quebec,Female,English,French,Trade Certificate/Diploma,Not Employed,Other,,,,1.0,0.8888888888888888,1,0.2352941176470588,0.29411764705882354,0.8,0.5,0.1111111111111111,0,1.0,,1.0-0.8888888888888888-1-0.2352941176470588-0.29411764705882354-0.8-0.5-0.1111111111111111-0-1.0,28,0.07518796992481203,0.11300751879699247,0.03804511278195489,0.07518796992481203,0.0,0.03804511278195489,0.0,0.0,0.0,0.0,0.0,0.0,0.0012057012444559273,label2x,label1x,label3x,1,0,2,0.22624060150375938
1,1,1,1,1,5,5,,5,25-29,Ontario,Male,English,English,Trade Certificate/Diploma,Full-Time,Other,,,,0.4,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.8,0.0,0.1111111111111111,0,1.0,,0.4-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.8-0.0-0.1111111111111111-0-1.0,36,0.0873015873015873,0.11640211640211641,0.0,0.23390652557319225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001550187314300478,label4x,label2x,label1x,3,1,0,0.43761022927689597
2,2,2,3,3,18,18,,18,50-54,Ontario,Female,English,English,High School Graduation Certificate,Full-Time,Other,,,,0.7333333333333333,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.5,0.0,0.1111111111111111,0,0.6923076923076923,,0.7333333333333333-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.5-0.0-0.1111111111111111-0-0.6923076923076923,134,0.07532610022318315,0.03766662452922304,0.007532431301436741,0.030130618810154833,0.0,0.0301368740410099,0.007533324905844609,0.007536005719068211,0.0,0.0,0.0,0.007549409785186218,0.005770141669896224,label1x,label2x,label6x,0,1,5,0.14312959879341608
3,3,3,5,5,25,25,,25,70+,Ontario,Female,English,French,Univ Cert/Dipl Below Bachelor Level,Full-Time,Technical/Sales/Teaching/Other White Collar,,,,1.0,0.6666666666666666,1,0.2352941176470588,0.29411764705882354,0.0,0.0,0.8888888888888888,0,1.0,,1.0-0.6666666666666666-1-0.2352941176470588-0.29411764705882354-0.0-0.0-0.8888888888888888-0-1.0,14,0.32142857142857145,0.0,0.0,0.08035714285714286,0.08928571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006028506222279636,label1x,label5x,label4x,0,4,3,0.4910714285714286
4,4,4,6,6,26,26,,26,70+,Quebec,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,,,,1.0,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,1.0-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,26,0.2454044117647059,0.0,0.0,0.12252545248868778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011195797269947896,label1x,label4x,,0,3,0,0.3679298642533937
5,5,5,7,7,33,33,,33,18 Years,Quebec,Male,English,English,Univ Cert/Dipl Below Bachelor Level,Not Employed,Other,,,,0.13333333333333333,0.8888888888888888,0,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.13333333333333333-0.8888888888888888-0-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,16,0.1388888888888889,0.0763888888888889,0.0,0.20833333333333331,0.0,0.06944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0006889721396891014,label4x,label1x,label2x,3,0,1,0.4236111111111111
6,6,6,9,9,44,44,,44,60-64,Ontario,Female,English,English,High School Graduation Certificate,Full-Time,Technical/Sales/Teaching/Other White Collar,,,,0.8666666666666667,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.5,0.0,0.8888888888888888,0,1.0,,0.8666666666666667-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.5-0.0-0.8888888888888888-0-1.0,26,0.20604395604395606,0.08516483516483517,0.0,0.20604395604395606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011195797269947896,label1x,label2x,,0,1,0,0.29120879120879123
7,7,7,10,10,47,47,,47,30-34,Quebec,Female,English,English,Masters Degrees,Full-Time,Other,,,,0.4666666666666667,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.1,0.0,0.1111111111111111,0,0.7692307692307693,,0.4666666666666667-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.1-0.0-0.1111111111111111-0-0.7692307692307693,26,0.16324943438914025,0.04072398190045249,0.04178450226244344,0.12217194570135748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011195797269947896,label1x,label4x,label3x,0,3,2,0.3272058823529412
8,8,8,11,11,51,51,,51,60-64,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Other Managers,,,,0.8666666666666667,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.5,0.0,0.2222222222222222,0,1.0,,0.8666666666666667-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.5-0.0-0.2222222222222222-0-1.0,42,0.1982142857142857,0.024761904761904763,0.025079365079365076,0.049523809523809526,0.0744047619047619,0.0,0.024761904761904763,0.02492063492063492,0.0,0.0,0.0,0.0,0.001808551866683891,label1x,label5x,label4x,0,4,3,0.3221428571428571
9,9,9,12,12,55,55,,55,25-29,Ontario,Female,English,English,Bachelors Degrees,Full-Time,Unskilled,,,,0.4,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.0,0.0,1.0,0,1.0,,0.4-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.0-0.0-1.0-0-1.0,38,0.10916179337231968,0.0,0.0,0.136520772417154,0.0,0.0,0.027564571150097465,0.0,0.0,0.027496040448343077,0.0,0.0,0.0016363088317616157,label4x,label1x,label7x,3,0,6,0.27324713693957114
10,10,10,13,13,60,60,,60,50-54,Ontario,Male,English,English,Elementary School Graduation Cert,Not Employed,Other,,,,0.7333333333333333,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.4,0.5,0.1111111111111111,0,1.0,,0.7333333333333333-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.4-0.5-0.1111111111111111-0-1.0,36,0.14453514739229026,0.02888888888888889,0.0,0.08675736961451247,0.02888888888888889,0.0,0.0,0.029342403628117915,0.0,0.0,0.0,0.0,0.001550187314300478,label1x,label4x,label8x,0,3,7,0.26063492063492066
11,11,11,14,14,75,75,,75,65-69,Saskatchewan,Male,English,English,High School Graduation Certificate,Full-Time,Other,,,,0.9333333333333332,1.0,0,0.2352941176470588,0.2352941176470588,0.5,0.0,0.1111111111111111,0,1.0,,0.9333333333333332-1.0-0-0.2352941176470588-0.2352941176470588-0.5-0.0-0.1111111111111111-0-1.0,18,0.1212121212121212,0.125,0.0,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000775093657150239,label4x,label2x,label1x,3,1,0,0.428030303030303
12,12,12,15,15,78,78,,78,45-49,Ontario,Female,English,French,Bachelors Degrees,Full-Time,Other,,,,0.6666666666666666,0.6666666666666666,1,0.2352941176470588,0.29411764705882354,0.0,0.0,0.1111111111111111,0,1.0,,0.6666666666666666-0.6666666666666666-1-0.2352941176470588-0.29411764705882354-0.0-0.0-0.1111111111111111-0-1.0,58,0.03518101493470952,0.0,0.017594808038157793,0.03518101493470952,0.017586206896551725,0.0,0.0,0.0,0.01770662287903667,0.017620611462975996,0.0,0.0,0.002497524006372992,label1x,label9x,label10x,0,8,9,0.0705082492767222
13,13,13,16,16,91,91,,91,19 Years,Quebec,Male,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other Managers,,,,0.2,0.8888888888888888,0,0.2352941176470588,0.2352941176470588,0.0,0.5,0.2222222222222222,0,1.0,,0.2-0.8888888888888888-0-0.2352941176470588-0.2352941176470588-0.0-0.5-0.2222222222222222-0-1.0,22,0.0481283422459893,0.09651663695781343,0.0494281045751634,0.0481283422459893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009473366920725143,label2x,label3x,label1x,1,2,0,0.19407308377896612
14,14,14,17,17,93,93,,93,60-64,Quebec,Male,English,French,High School Graduation Certificate,Not Employed,Senior Managers/Owners,,,,0.8666666666666667,0.8888888888888888,0,0.2352941176470588,0.29411764705882354,0.5,0.5,0.5555555555555556,0,1.0,,0.8666666666666667-0.8888888888888888-0-0.2352941176470588-0.29411764705882354-0.5-0.5-0.5555555555555556-0-1.0,52,0.13835470085470086,0.03961805555555556,0.01982371794871795,0.03952991452991453,0.07920673076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002239159453989579,label1x,label5x,label2x,0,4,1,0.25717948717948724
15,15,15,18,18,104,104,,104,65-69,Ontario,Male,English,English,Bachelors Degrees,Full-Time,Skilled,,,,0.9333333333333332,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.7777777777777778,0,1.0,,0.9333333333333332-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.7777777777777778-0-1.0,40,0.05178571428571428,0.05178571428571428,0.02608119419642857,0.12952706473214287,0.025892857142857145,0.0,0.0,0.0,0.0,0.026143973214285715,0.0,0.0,0.0017224303492227532,label4x,label1x,label10x,3,0,9,0.20745675223214285
16,16,16,19,19,105,105,,105,40-44,Ontario,Male,English,English,Bachelors Degrees,Full-Time,Other,,,,0.6,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,0.6-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,20,0.16153846153846155,0.05384615384615384,0.05384615384615384,0.05384615384615384,0.0,0.0,0.05641025641025641,0.0,0.0,0.0,0.0,0.0,0.0008612151746113766,label1x,label7x,label2x,0,6,1,0.2717948717948718
17,17,17,20,20,108,108,,108,70+,Ontario,Male,French,English,Elementary School Graduation Cert,Full-Time,Other Managers,,,,1.0,0.6666666666666666,0,0.29411764705882354,0.2352941176470588,0.4,0.0,0.2222222222222222,0,0.0,,1.0-0.6666666666666666-0-0.29411764705882354-0.2352941176470588-0.4-0.0-0.2222222222222222-0-0.0,73,0.20968521107072965,0.013990494828068214,0.0,0.08388146491473301,0.0,0.0,0.0,0.0,0.0,0.014034106793402293,0.0,0.01406429969247973,0.003143435387331525,label1x,label4x,label12x,0,3,11,0.3076309756779424
18,18,18,21,21,115,115,,115,60-64,Ontario,Female,French,English,Other Certificate/Diploma Not Univ,Full-Time,Technical/Sales/Teaching/Other White Collar,,,,0.8666666666666667,0.6666666666666666,1,0.29411764705882354,0.2352941176470588,0.0,0.0,0.8888888888888888,0,1.0,,0.8666666666666667-0.6666666666666666-1-0.29411764705882354-0.2352941176470588-0.0-0.0-0.8888888888888888-0-1.0,24,0.4070512820512821,0.0,0.04487179487179487,0.0,0.0,0.04487179487179487,0.0,0.0,0.0,0.0,0.0,0.0,0.001033458209533652,label1x,label3x,,0,2,0,0.451923076923077
19,19,19,22,22,116,116,,116,50-54,Ontario,Female,English,English,Elementary School Graduation Cert,Full-Time,Other Managers,,,,0.7333333333333333,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.4,0.0,0.2222222222222222,0,1.0,,0.7333333333333333-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.4-0.0-0.2222222222222222-0-1.0,28,0.18880208333333331,0.037698412698412696,0.038628472222222224,0.11309523809523811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012057012444559273,label1x,label4x,label3x,0,3,2,0.3405257936507936
20,20,20,23,23,117,117,,117,65-69,Ontario,Male,Other,English,Elementary School Graduation Cert,Full-Time,Other,,,,0.9333333333333332,0.6666666666666666,0,0.7058823529411765,0.2352941176470588,0.4,0.0,0.1111111111111111,0,1.0,,0.9333333333333332-0.6666666666666666-0-0.7058823529411765-0.2352941176470588-0.4-0.0-0.1111111111111111-0-1.0,96,0.10588846315517186,0.06352459016393443,0.03179058751252951,0.12707039965079056,0.021181936495618715,0.010608651016910789,0.01058743169398907,0.0,0.0,0.0,0.0,0.0,0.004133832838134608,label4x,label1x,label2x,3,0,1,0.29648345296989687
21,21,21,25,25,125,125,,126,35-39,Quebec,Female,English,English,Bachelors Degrees,Not Employed,Other,,,,0.5333333333333333,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.5333333333333333-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,36,0.14423076923076925,0.0,0.0,0.028846153846153848,0.08661358173076923,0.0,0.0,0.029371995192307692,0.0,0.0,0.0,0.0,0.001550187314300478,label1x,label5x,label8x,0,4,7,0.2602163461538462
22,22,22,27,27,144,144,,145,50-54,Quebec,Female,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other,,,,0.7333333333333333,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,0.7333333333333333-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,10,0.22857142857142856,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0004306075873056883,label1x,label7x,,0,6,0,0.35357142857142854
23,23,23,28,28,151,151,,152,30-34,Ontario,Male,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Skilled,,,,0.4666666666666667,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.7777777777777778,0,1.0,,0.4666666666666667-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.7777777777777778-0-1.0,29,0.14665314401622717,0.0,0.0,0.21967545638945235,0.07342799188640974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001248762003186496,label4x,label1x,label5x,3,0,4,0.43975659229208924
24,24,24,30,30,161,161,,162,55-59,Ontario,Female,English,English,Trade Certificate/Diploma,Full-Time,Professionals,,,,0.8,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.8,0.0,0.4444444444444444,0,1.0,,0.8-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.8-0.0-0.4444444444444444-0-1.0,16,0.2777777777777778,0.14583333333333331,0.0,0.06944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006889721396891014,label1x,label2x,label4x,0,1,3,0.4930555555555556
25,25,25,31,31,165,165,,166,30-34,Alberta,Male,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,,,,0.4666666666666667,0.0,0,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.4666666666666667-0.0-0-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,70,0.11629072681704261,0.0,0.0,0.04360902255639097,0.0,0.014554205762339735,0.0,0.0,0.0,0.0,0.0,0.014649485283456576,0.0030142531111398184,label1x,label4x,label12x,0,3,11,0.17454923465689018
26,26,26,32,32,166,166,,167,45-49,Quebec,Female,English,English,High School Graduation Certificate,Full-Time,Other,,,,0.6666666666666666,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.5,0.0,0.1111111111111111,0,1.0,,0.6666666666666666-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.5-0.0-0.1111111111111111-0-1.0,58,0.03518648838845883,0.03520496129486277,0.017602480647431386,0.0351957248416608,0.0,0.0,0.0,0.0,0.0,0.017611717100633358,0.0,0.017722554539057002,0.002497524006372992,label2x,label4x,label1x,1,3,0,0.1055871745249824
27,27,27,33,33,167,167,,168,40-44,British Columbia,Male,English,English,High School Graduation Certificate,Not Employed,Other,,,,0.6,0.1111111111111111,0,0.2352941176470588,0.2352941176470588,0.5,0.5,0.1111111111111111,0,1.0,,0.6-0.1111111111111111-0-0.2352941176470588-0.2352941176470588-0.5-0.5-0.1111111111111111-0-1.0,38,0.22149122807017546,0.0,0.0,0.19298245614035087,0.055137844611528826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016363088317616157,label1x,label4x,label5x,0,3,4,0.46961152882205515
28,28,28,34,34,168,168,,169,35-39,Ontario,Male,English,English,Elementary School Graduation Cert,Full-Time,Other,,,,0.5333333333333333,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.4,0.0,0.1111111111111111,0,1.0,,0.5333333333333333-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.4-0.0-0.1111111111111111-0-1.0,20,0.21666666666666665,0.21979166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008612151746113766,label2x,label1x,,1,0,0,0.4364583333333333
29,29,29,35,35,176,176,,177,70+,Ontario,Female,English,English,Elementary School Graduation Cert,Not Employed,Technical/Sales/Teaching/Other White Collar,,,,1.0,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.4,0.5,0.8888888888888888,0,1.0,,1.0-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.4-0.5-0.8888888888888888-0-1.0,10,0.2333333333333333,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004306075873056883,label5x,label1x,,4,0,0,0.4833333333333333
30,30,30,36,36,178,178,,179,15-17,Manitoba,Male,English,French,High School Graduation Certificate,Not Employed,Other,,,,0.06666666666666668,0.2222222222222222,0,0.2352941176470588,0.29411764705882354,0.5,0.5,0.1111111111111111,0,1.0,,0.06666666666666668-0.2222222222222222-0-0.2352941176470588-0.29411764705882354-0.5-0.5-0.1111111111111111-0-1.0,30,0.24711934156378604,0.0,0.03559670781893005,0.14074074074074075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001291822761917065,label1x,label4x,label3x,0,3,2,0.4234567901234568
