,Age,Geo,Gender,Language_Spoken,Language_Used,HH_Structure,Education,Occupation,HH_Income,Personal_Income,Ethnic_Background
0,30-34,Ontario,Female,Polish,English,Empty Nesters,"Other Certificate/Diploma, Not Univ.",Other,"$60,000-$74,999","$40,000-$49,999",White
1,40-44,Saskatchewan,Male,Polish,English,Couple With Children Living at Home,High School Graduation Certificate,Other Managers,"$60,000-$74,999","Under $25,000",White
2,15-17,Ontario,Male,French,English,Empty Nesters,"Other Certificate/Diploma, Not Univ.",Other,"$60,000-$74,999","Under $25,000",Chinese
3,65-69,Manitoba,Female,English,French,Couple - No Children Living At Home,None,Other,"$75,000-$99,999","$50,000-$59,999",White
4,40-44,British Columbia,Male,German,English,Adult With Children Living At Home,"""Bachelors Degrees""",Other Managers,"$50,000-$59,999","Under $25,000",White
5,30-34,Quebec,Male,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Skilled,"Under $25,000","Under $25,000",Other
6,19 Years,Alberta,Male,German,Other,Couple With Children Living at Home,Trade Certificate/Diploma,Senior Managers/Owners,"$75,000-$99,999","$25,000-$34,999",White
7,60-64,Ontario,Female,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$200,000 Or Over","Under $25,000",White
8,40-44,Ontario,Female,French,English,Other,"Other Certificate/Diploma, Not Univ.",Other Managers,"$75,000-$99,999","$60,000-$74,999",Black
9,40-44,Alberta,Male,English,English,Adult Sharing Accommodation,High School Graduation Certificate,Other,"$60,000-$74,999",None,Other
10,55-59,Ontario,Male,French,English,Empty Nesters,High School Graduation Certificate,Other,"Under $25,000","$25,000-$34,999",White
11,30-34,Ontario,Male,English,English,Adult With Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other,"$200,000 Or Over",None,White
12,70+,Quebec,Female,Arabic,Other,Adult Sharing Accommodation,Trade Certificate/Diploma,Unskilled,"$150,000-$199,999","$50,000-$59,999",Not Stated
13,19 Years,Ontario,Male,English,English,Adult With Children Living At Home,Elementary School Graduation Cert,Professionals,"$50,000-$59,999","$25,000-$34,999",White
14,22-24,Quebec,Male,French,English,Adult Living Alone,"""Bachelors Degrees""",Professionals,"Under $25,000","Under $25,000",Not Stated
15,55-59,Ontario,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"Under $25,000","Under $25,000",White
16,50-54,British Columbia,Female,English,English,Couple - No Children Living At Home,Trade Certificate/Diploma,Technical/Sales/Teaching/Other White Collar,"$25,000-$34,999","Under $25,000",White
17,30-34,Ontario,Female,French,French,Adult Sharing Accommodation,"Other Certificate/Diploma, Not Univ.",Other Managers,"Under $25,000","$50,000-$59,999",Latin/Central and South American
18,30-34,Ontario,Male,French,Other,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Other,"$60,000-$74,999","$60,000-$74,999",White
19,55-59,Saskatchewan,Female,English,English,Empty Nesters,Univ. Cert./Dipl. Below Bachelor Level,Technical/Sales/Teaching/Other White Collar,"$150,000-$199,999","$40,000-$49,999",White
20,65-69,Ontario,Male,English,Indian-Other,Empty Nesters,"""Masters Degrees""",Skilled,"$25,000-$34,999","$40,000-$49,999",White
21,50-54,Alberta,Female,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$60,000-$74,999","Under $25,000",White
22,25-29,Ontario,Female,English,English,Adult Sharing Accommodation,High School Graduation Certificate,Other Managers,"$75,000-$99,999","$40,000-$49,999",Other
23,70+,Alberta,Male,English,English,Couple With Children Living at Home,Univ. Cert./Dipl. Below Bachelor Level,Skilled,"$200,000 Or Over",None,White
24,40-44,Quebec,Female,English,Other,Other,Elementary School Graduation Cert,Other,"$200,000 Or Over","$35,000-$39,999",White
25,65-69,Ontario,Female,French,English,Couple With Children Living at Home,None,Other,"$35,000-$39,999",None,White
26,20-21,Ontario,Male,French,French,Couple With Children Living at Home,High School Graduation Certificate,Other,"$40,000-$49,999","$35,000-$39,999",White
27,30-34,Ontario,Female,Other,English,Other,Elementary School Graduation Cert,Professionals,"$40,000-$49,999","$75,000-$99,999",White
28,14 Years,Manitoba,Female,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"Under $25,000","Under $25,000",Chinese
29,55-59,Alberta,Female,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other Managers,"$150,000-$199,999","Under $25,000",White
30,25-29,Ontario,Female,English,English,Adult Living Alone,Univ. Cert./Dipl. Below Bachelor Level,Other,"$25,000-$34,999","$25,000-$34,999",White
31,60-64,British Columbia,Male,French,English,Couple - No Children Living At Home,"""Masters Degrees""",Other,"$40,000-$49,999","$40,000-$49,999",White
32,65-69,Alberta,Male,English,Vietnamese,Empty Nesters,"""Masters Degrees""",Other,"$75,000-$99,999","Under $25,000",White
33,65-69,Quebec,Male,French,English,Empty Nesters,High School Graduation Certificate,Unskilled,"$75,000-$99,999","Under $25,000",White
34,70+,Quebec,Male,English,French,Couple With Children Living at Home,Univ. Cert./Dipl. Below Bachelor Level,Other,"$25,000-$34,999","Under $25,000",White
