+----+----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+------------+------------+------------+---------+
|    | number   |   label1x |   label2x |   label3x |   label4x |   label5x |   label6x |   label7x |   label8x |   label9x |   label10x |   label11x |   label12x |   total |
|----+----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+------------+------------+------------+---------|
|  0 | 0.0      | 0.0310559 | 0.0807453 | 0.10559   | 0.0745342 | 0.0745342 | 0.0993789 | 0.111801  | 0.118012  | 0         |  0.068323  |  0.124224  |  0.111801  |     161 |
|  1 | 1.0      | 0.122159  | 0.105114  | 0.0568182 | 0.0965909 | 0.0795455 | 0.0681818 | 0.0340909 | 0.159091  | 0.0426136 |  0.0965909 |  0.03125   |  0.107955  |     352 |
|  2 | 2.0      | 0.114428  | 0.0895522 | 0.104478  | 0.0995025 | 0.0995025 | 0.0248756 | 0.114428  | 0.0248756 | 0         |  0.134328  |  0.079602  |  0.114428  |     201 |
|  3 | 3.0      | 0.075     | 0.07      | 0.075     | 0.05      | 0.06      | 0.135     | 0.08      | 0.055     | 0.165     |  0.075     |  0.16      |  0         |     200 |
|  4 | 4.0      | 0.0598958 | 0.0807292 | 0.119792  | 0.0755208 | 0.0833333 | 0.0885417 | 0.106771  | 0.117188  | 0.0729167 |  0.0729167 |  0.0807292 |  0.0416667 |     384 |
|  5 | 5.0      | 0.0992647 | 0.0845588 | 0.0735294 | 0.0919118 | 0.0955882 | 0.117647  | 0.0551471 | 0.0661765 | 0.139706  |  0.0845588 |  0.0404412 |  0.0514706 |     272 |
|  6 | 6.0      | 0.101124  | 0.117978  | 0.0786517 | 0.134831  | 0.0842697 | 0.0786517 | 0.0674157 | 0.0617978 | 0         |  0.0449438 |  0.117978  |  0.11236   |     178 |
|  7 | 7.0      | 0.0801394 | 0.108014  | 0.0801394 | 0.0731707 | 0.0766551 | 0.0766551 | 0.0836237 | 0.181185  | 0         |  0.146341  |  0         |  0.0940767 |     287 |
|  8 | 8.0      | 0.0414508 | 0.0725389 | 0.0310881 | 0.129534  | 0.0621762 | 0.134715  | 0.0932642 | 0.0414508 | 0.212435  |  0.0673575 |  0.11399   |  0         |     193 |
|  9 | 9.0      | 0.105634  | 0.084507  | 0.0680751 | 0.103286  | 0.0915493 | 0.0680751 | 0.0774648 | 0.0868545 | 0.126761  |  0.084507  |  0.0539906 |  0.0492958 |     426 |
| 10 | 10.0     | 0.107034  | 0.0978593 | 0.0917431 | 0.0917431 | 0.0672783 | 0.0795107 | 0.107034  | 0.030581  | 0         |  0.100917  |  0.17737   |  0.0489297 |     327 |
| 11 | 11.0     | 0.0841584 | 0.10396   | 0.0990099 | 0.0792079 | 0.0990099 | 0.113861  | 0.0594059 | 0.108911  | 0.133663  |  0.118812  |  0         |  0         |     202 |
| 12 | 12.0     | 0.129032  | 0.0645161 | 0.0537634 | 0.139785  | 0.0645161 | 0.182796  | 0.0645161 | 0.0430108 | 0         |  0.0215054 |  0         |  0.236559  |      93 |
| 13 | 13.0     | 0.118081  | 0.0922509 | 0.0848708 | 0.107011  | 0.143911  | 0.0848708 | 0.107011  | 0.0738007 | 0         |  0.0516605 |  0.0701107 |  0.0664207 |     271 |
| 14 | 14.0     | 0.0669014 | 0.0950704 | 0.0669014 | 0.112676  | 0.0669014 | 0.112676  | 0.0880282 | 0.0528169 | 0.0880282 |  0.0774648 |  0         |  0.172535  |     284 |
| 15 | 15.0     | 0.0649351 | 0.038961  | 0.025974  | 0.0519481 | 0.038961  | 0.0194805 | 0.0714286 | 0         | 0.116883  |  0.0779221 |  0.12987   |  0.363636  |     154 |
| 16 | 16.0     | 0.0697674 | 0.0872093 | 0.0406977 | 0.0755814 | 0.0581395 | 0.0930233 | 0         | 0.104651  | 0         |  0.110465  |  0.162791  |  0.197674  |     172 |
| 17 | 17.0     | 0.0893855 | 0.0782123 | 0.0949721 | 0.0726257 | 0.106145  | 0.0558659 | 0.0726257 | 0.117318  | 0.145251  |  0.0893855 |  0         |  0.0782123 |     179 |
| 18 | 18.0     | 0.0842105 | 0.0526316 | 0.0315789 | 0.0842105 | 0.0315789 | 0.189474  | 0.0736842 | 0.0736842 | 0.178947  |  0.0210526 |  0         |  0.178947  |      95 |
| 19 | 19.0     | 0.105263  | 0.0756579 | 0.0888158 | 0.0723684 | 0.0888158 | 0.0723684 | 0.0855263 | 0.0888158 | 0.131579  |  0.0493421 |  0         |  0.141447  |     304 |
| 20 | 20.0     | 0.0888889 | 0.0666667 | 0.0888889 | 0.0518519 | 0.103704  | 0.0592593 | 0.0222222 | 0.0666667 | 0.2       |  0.037037  |  0.148148  |  0.0666667 |     135 |
| 21 | 21.0     | 0.0828729 | 0.0883978 | 0.138122  | 0.0718232 | 0.0607735 | 0.0662983 | 0.138122  | 0.0773481 | 0.104972  |  0.104972  |  0.0662983 |  0         |     181 |
| 22 | 22.0     | 0.0601504 | 0.075188  | 0.0225564 | 0.120301  | 0.0526316 | 0.037594  | 0.0526316 | 0.120301  | 0         |  0.150376  |  0.0902256 |  0.218045  |     133 |
| 23 | 23.0     | 0.0526316 | 0.0789474 | 0.0639098 | 0.0676692 | 0.0714286 | 0.101504  | 0.056391  | 0.135338  | 0.0639098 |  0.0300752 |  0.203008  |  0.075188  |     266 |
| 24 | 24.0     | 0.0972222 | 0.159722  | 0.0555556 | 0.0972222 | 0.111111  | 0.104167  | 0.0486111 | 0.0833333 | 0.118056  |  0.0486111 |  0         |  0.0763889 |     144 |
| 25 | 25.0     | 0.0751445 | 0.156069  | 0.0867052 | 0.0809249 | 0.0404624 | 0.0578035 | 0.127168  | 0.0578035 | 0.190751  |  0.0693642 |  0.0578035 |  0         |     173 |
| 26 | 26.0     | 0.0678733 | 0.0950226 | 0.0678733 | 0.0633484 | 0.117647  | 0.081448  | 0.0497738 | 0.122172  | 0.144796  |  0.113122  |  0         |  0.0769231 |     221 |
| 27 | 27.0     | 0.102564  | 0.128205  | 0.153846  | 0.102564  | 0.108974  | 0.0576923 | 0.121795  | 0.141026  | 0         |  0.0833333 |  0         |  0         |     156 |
| 28 | 28.0     | 0.089172  | 0.0573248 | 0.127389  | 0.101911  | 0.0700637 | 0.0700637 | 0.089172  | 0.165605  | 0         |  0.0573248 |  0.0764331 |  0.0955414 |     157 |
| 29 | 29.0     | 0.0993377 | 0.0397351 | 0.013245  | 0.0529801 | 0.112583  | 0.145695  | 0.0331126 | 0         | 0.271523  |  0.231788  |  0         |  0         |     151 |
| 30 | 30.0     | 0.101382  | 0.119816  | 0.129032  | 0.115207  | 0.133641  | 0.078341  | 0.0967742 | 0.0368664 | 0.105991  |  0.0829493 |  0         |  0         |     217 |
