,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Id,Age,Geo,Gender,Language_Spoken,Language_Used,Education,Employed,Occupation,HH_Income,Ethnic_Background,Labels,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,label1,combination,total,label1x,label2x,label3x,label4x,label5x,label6x,label7x,label8x,label9x,label10x,label11x,label12x,total_per,bestlabelx1,bestlabelx2,bestlabelx3,bestlabel1,bestlabel2,bestlabel3,melhores
0,0,2,2,,2,70+,Quebec,Female,English,French,Trade Certificate/Diploma,Not Employed,Other,,,,1.0,0.8888888888888888,1,0.2352941176470588,0.29411764705882354,0.8,0.5,0.1111111111111111,0,1.0,,1.0-0.8888888888888888-1-0.2352941176470588-0.29411764705882354-0.8-0.5-0.1111111111111111-0-1.0,44,5.336042620039615e-07,8.004063930059421e-07,5.336042620039615e-07,0.0,5.336042620039615e-07,8.004063930059421e-07,1.067208524007923e-06,0.0,0.0,1.6008127860118843e-06,5.8696468820435766e-06,0.0,0.0036666666666666666,label11x,,,10,0,0,0.0003756574004507889
1,1,5,5,,5,25-29,Ontario,Male,English,English,Trade Certificate/Diploma,Full-Time,Other,,,,0.4,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.8,0.0,0.1111111111111111,0,1.0,,0.4-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.8-0.0-0.1111111111111111-0-1.0,20,6.25e-06,2.5e-05,6.25e-06,0.0,2.5e-05,1.25e-05,5e-05,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668,label7x,,,6,0,0,0.00175
2,2,6,6,,6,65-69,Ontario,Female,English,English,High School Graduation Certificate,Full-Time,Other,,,,0.9333333333333332,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.5,0.0,0.1111111111111111,0,1.0,,0.9333333333333332-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.5-0.0-0.1111111111111111-0-1.0,21,5.141890467449263e-06,0.0,5.141890467449263e-06,1.5425671402347786e-05,5.141890467449263e-06,0.0,5.141890467449262e-05,2.570945233724631e-05,0.0,0.0,0.0,0.0,0.00175,label7x,,,6,0,0,0.001943634596695821
3,3,18,18,,18,50-54,Ontario,Female,English,English,High School Graduation Certificate,Full-Time,Other,,,,0.7333333333333333,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.5,0.0,0.1111111111111111,0,0.6923076923076923,,0.7333333333333333-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.5-0.0-0.1111111111111111-0-0.6923076923076923,82,0.012347751554168142,1.4293391879066473e-07,9.528927919377648e-08,1.6675623858910882e-07,7.146695939533236e-08,1.6675623858910882e-07,0.0,1.191115989922206e-07,6.670249543564353e-07,0.0,0.0,2.620455177828853e-07,0.006833333333333334,label1x,,,0,0,0,0.012591811220503204
4,4,19,19,,19,35-39,Ontario,Male,French,English,Elementary School Graduation Cert,Not Employed,Skilled,,,,0.5333333333333333,0.6666666666666666,0,0.29411764705882354,0.2352941176470588,0.4,0.5,0.7777777777777778,0,1.0,,0.5333333333333333-0.6666666666666666-0-0.29411764705882354-0.2352941176470588-0.4-0.5-0.7777777777777778-0-1.0,40,1.5625e-06,2.7343749999999995e-06,2.7343749999999995e-06,1.1718750000000001e-06,3.90625e-07,2.3437500000000002e-06,3.90625e-07,2.7343749999999995e-06,0.0,1.5625e-06,0.0,0.0,0.0033333333333333335,label2x,,,1,0,0,0.000265625
5,5,25,25,,25,70+,Ontario,Female,English,French,Univ Cert/Dipl Below Bachelor Level,Full-Time,Technical/Sales/Teaching/Other White Collar,,,,1.0,0.6666666666666666,1,0.2352941176470588,0.29411764705882354,0.0,0.0,0.8888888888888888,0,1.0,,1.0-0.6666666666666666-1-0.2352941176470588-0.29411764705882354-0.0-0.0-0.8888888888888888-0-1.0,23,1.429383113982583e-05,1.072037335486937e-05,0.0,1.072037335486937e-05,7.146915569912915e-06,0.0,0.0,1.429383113982583e-05,0.0,2.5014204494695203e-05,0.0,0.0,0.0019166666666666666,label10x,,,9,0,0,0.0011506534067559793
6,6,26,26,,26,70+,Quebec,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,,,,1.0,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,1.0-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,26,4.376597458072197e-06,2.1882987290360987e-06,2.1882987290360987e-06,6.564896187108294e-06,8.753194916144395e-06,0.0,0.0,0.0,0.0,0.0,3.282448093554147e-05,0.0,0.0021666666666666666,label11x,,,10,0,0,0.001251706873008648
7,7,33,33,,33,18 Years,Quebec,Male,English,English,Univ Cert/Dipl Below Bachelor Level,Not Employed,Other,,,,0.13333333333333333,0.8888888888888888,0,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.13333333333333333-0.8888888888888888-0-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,29,2.82773042114803e-06,1.413865210574015e-06,5.65546084229606e-06,2.82773042114803e-06,4.241595631722046e-06,2.82773042114803e-06,0.0,0.0,2.120797815861023e-05,0.0,0.0,0.0,0.002416666666666667,label9x,,,8,0,0,0.0009020460043462218
8,8,35,35,,35,40-44,Ontario,Female,French,English,High School Graduation Certificate,Not Employed,Other Managers,,,,0.6,0.6666666666666666,1,0.29411764705882354,0.2352941176470588,0.5,0.5,0.2222222222222222,0,1.0,,0.6-0.6666666666666666-1-0.29411764705882354-0.2352941176470588-0.5-0.5-0.2222222222222222-0-1.0,98,8.673326277871517e-08,8.673326277871517e-08,1.1925823632073337e-07,9.757492062605457e-08,9.757492062605457e-08,5.4208289236696985e-08,0.0,4.3366631389357586e-08,0.0,1.8430818340476972e-07,1.3009989416807274e-07,1.6262486771009097e-07,0.008166666666666666,label10x,,,9,0,0,4.674922863772748e-05
9,9,44,44,,44,60-64,Ontario,Female,English,English,High School Graduation Certificate,Full-Time,Technical/Sales/Teaching/Other White Collar,,,,0.8666666666666667,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.5,0.0,0.8888888888888888,0,1.0,,0.8666666666666667-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.5-0.0-0.8888888888888888-0-1.0,58,4.418328783043798e-07,6.185660296261316e-07,2.6509972698262786e-07,3.534663026435038e-07,1.767331513217519e-07,1.0603989079305114e-06,1.767331513217519e-07,0.0,0.0,5.301994539652557e-07,1.5022317862348908e-06,0.0,0.004833333333333334,label11x,,,10,0,0,0.00018450940997990895
